"Lower" "Upper"
"GCGS0050" 2009 2010
"SRR11698283" 2019 2019.08493150685
"SRR11698360" 2019.41369863014 2019.49589041096
"SRR11698355" 2019.41369863014 2019.49589041096
"SRR8071084" 2014 2015
"SRR9985802" 2017 2018
"SRR11903948" 2018.41643835616 2018.41643835616
"SRR11903980" 2018.33150684932 2018.33150684932
"SRR11904892" 2018.83287671233 2018.83287671233
"SRR16644419" 2019.66301369863 2019.74794520548
"SRR11904737" 2018.91780821918 2018.91780821918
"SRR11904508" 2018.66575342466 2018.66575342466
"SRR11904550" 2018.83287671233 2018.83287671233
"SRR16644088" 2019.08493150685 2019.16164383562
"SRR11904794" 2018.16438356164 2018.16438356164
"SRR16644500" 2019.32876712329 2019.41369863014
"SRR8071112" 2015 2016
"SRR11904078" 2018.24931506849 2018.24931506849
"SRR11904844" 2018.91780821918 2018.91780821918
"SRR8071320" 2015 2016
"SRR9985635" 2017 2018
"SRR9985941" 2017 2018
"SRR9985806" 2017 2018
"SRR11904163" 2018.91780821918 2018.91780821918
"SRR16643949" 2019 2019.08493150685
"SRR11904294" 2018.75068493151 2018.75068493151
"SRR16644164" 2019.32876712329 2019.41369863014
"SRR16644053" 2019.16164383562 2019.24657534247
"SRR16644127" 2019.58082191781 2019.66301369863
"SRR9985807" 2017 2018
"SRR11904127" 2018.08767123288 2018.08767123288
"SRR11904142" 2018.00273972603 2018.00273972603
"SRR11903887" 2018.49863013699 2018.49863013699
"SRR11904129" 2018.08767123288 2018.08767123288
"SRR16644421" 2019.66301369863 2019.74794520548
"SRR16644562" 2019 2019.08493150685
"SRR11904327" 2018.66575342466 2018.66575342466
"SRR11903888" 2018.49863013699 2018.49863013699
"SRR11904131" 2018.00273972603 2018.00273972603
"SRR16644683" 2019.32876712329 2019.41369863014
"SRR8071062" 2015 2016
"GCGS0261" 2004 2005
"GCGS0262" 2005 2006
"GCGS0265" 2004 2005
"GCGS0662" 2002 2003
"SRR11904836" 2018.91780821918 2018.91780821918
"GCGS0274" 2003 2004
"GCGS0291" 2001 2002
"GCGS0351" 2000 2001
"GCGS0303" 2004 2005
"SRR11903943" 2018.41643835616 2018.41643835616
"GCGS0313" 2012 2013
"GCGS0438" 2013 2014
"GCGS0489" 2012 2013
"SRR11698332" 2019.08493150685 2019.16164383562
"SRR7401672" 2016 2017
"SRR9985757" 2017 2018
"SRR11904348" 2018.75068493151 2018.75068493151
"SRR11904292" 2018.75068493151 2018.75068493151
"SRR11904797" 2018.91780821918 2018.91780821918
"GCGS0450" 2011 2012
"GCGS0375" 2011 2012
"SRR11903838" 2018.49863013699 2018.49863013699
"SRR11904401" 2018.58356164384 2018.58356164384
"SRR8071344" 2014 2015
"GCGS0538" 2004 2005
"SRR16644501" 2019.32876712329 2019.41369863014
"SRR16644563" 2019 2019.08493150685
"GCGS0432" 2013 2014
"SRR9985745" 2017 2018
"SRR11904065" 2018.24931506849 2018.24931506849
"SRR11904145" 2018.08767123288 2018.08767123288
"SRR16644125" 2019.32876712329 2019.41369863014
"SRR9985821" 2017 2018
"SRR9985876" 2017 2018
"SRR11724972" 2019.16164383562 2019.24657534247
"SRR11725146" 2019.32876712329 2019.41369863014
"SRR11725064" 2019 2019.08493150685
"SRR12612824" 2019.8301369863 2019.91506849315
"SRR12612842" 2019.74794520548 2019.8301369863
"SRR11904577" 2018.66575342466 2018.66575342466
"SRR11904582" 2018.49863013699 2018.49863013699
"SRR11904597" 2018.58356164384 2018.58356164384
"SRR11904885" 2018.75068493151 2018.75068493151
"SRR11904421" 2018.58356164384 2018.58356164384
"SRR11904795" 2018.91780821918 2018.91780821918
"SRR11724566" 2019.74794520548 2019.8301369863
"SRR16999381" 2019.74794520548 2019.8301369863
"SRR11904433" 2018.58356164384 2018.58356164384
"SRR11904728" 2018.83287671233 2018.83287671233
"GCGS0243" 2006 2007
"GCGS0488" 2012 2013
"GCGS0250" 2005 2006
"GCGS0252" 2004 2005
"GCGS0253" 2004 2005
"GCGS0471" 2012 2013
"GCGS0162" 2009 2010
"SRR9985965" 2017 2018
"SRR8833445" 2018.24931506849 2018.24931506849
"SRR9985967" 2017 2018
"SRR8833600" 2018.16438356164 2018.16438356164
"SRR8903164" 2018.33150684932 2018.33150684932
"GCGS0456" 2012 2013
"GCGS0473" 2012 2013
"GCGS0460" 2013 2014
"SRR9985880" 2017 2018
"SRR11904353" 2018.66575342466 2018.66575342466
"SRR16644536" 2019.58082191781 2019.66301369863
"SRR16644592" 2019.24657534247 2019.32876712329
"SRR11904566" 2018.33150684932 2018.33150684932
"SRR16644045" 2019.49589041096 2019.58082191781
"SRR8071187" 2015 2016
"SRR8070997" 2016 2017
"SRR16644013" 2019.32876712329 2019.41369863014
"SRR16644169" 2019.32876712329 2019.41369863014
"SRR16644278" 2019.58082191781 2019.66301369863
"SRR9985815" 2017 2018
"SRR9877950" 2018.49863013699 2018.49863013699
"GCGS0461" 2013 2014
"GCGS0315" 2013 2014
"GCGS0543" 2011 2012
"SRR9985608" 2017 2018
"SRR16643912" 2019 2019.08493150685
"SRR11904310" 2018.66575342466 2018.66575342466
"SRR8079743" 2016 2017
"SRR11904177" 2018.83287671233 2018.83287671233
"SRR16643901" 2019 2019.08493150685
"SRR11904766" 2018.08767123288 2018.08767123288
"SRR16644709" 2019.16164383562 2019.24657534247
"SRR11724390" 2019 2019.08493150685
"SRR11724506" 2019.32876712329 2019.41369863014
"SRR11724512" 2019.32876712329 2019.41369863014
"SRR12612884" 2019.91506849315 2019.99726027397
"SRR11904726" 2018.91780821918 2018.91780821918
"SRR16999590" 2019.74794520548 2019.8301369863
"SRR16644110" 2019.32876712329 2019.41369863014
"SRR16644157" 2019.49589041096 2019.58082191781
"SRR11904785" 2018.91780821918 2018.91780821918
"SRR11698758" 2019.49589041096 2019.58082191781
"SRR11699089" 2019.16164383562 2019.24657534247
"SRR11725081" 2019.58082191781 2019.66301369863
"SRR16644224" 2019 2019.08493150685
"SRR8079765" 2016 2017
"GCGS0312" 2011 2012
"SRR9985813" 2017 2018
"SRR11904679" 2018.08767123288 2018.08767123288
"SRR11904680" 2018.08767123288 2018.08767123288
"SRR11904681" 2018.08767123288 2018.08767123288
"SRR11724391" 2019 2019.08493150685
"SRR8833457" 2018.16438356164 2018.16438356164
"SRR11724238" 2019.49589041096 2019.58082191781
"SRR11724397" 2019.16164383562 2019.24657534247
"SRR16999588" 2019.74794520548 2019.8301369863
"SRR9877776" 2018.41643835616 2018.41643835616
"SRR11724314" 2019.08493150685 2019.16164383562
"SRR9877940" 2018.24931506849 2018.24931506849
"GCGS0850" 2013 2014
"SRR5235227" 2016 2017
"SRR8079770" 2016 2017
"GCGS0258" 2002 2003
"GCGS0259" 2003 2004
"GCGS0260" 2003 2004
"GCGS0302" 2002 2003
"GCGS0521" 2002 2003
"GCGS0427" 2013 2014
"GCGS0492" 2004 2005
"GCGS0685" 2004 2005
"GCGS0687" 2004 2005
"GCGS0310" 2004 2005
"GCGS0703" 2000 2001
"GCGS1096" 2001 2002
"GCGS0273" 2000 2001
"GCGS0525" 2000 2001
"GCGS0529" 2003 2004
"GCGS0390" 2004 2005
"SRR8171996" 2017 2018
"SRR8171971" 2017 2018
"SRR8088161" 2016 2017
"SRR8088172" 2016 2017
"SRR9985871" 2017 2018
"SRR8079731" 2016 2017
"SRR8079732" 2016 2017
"SRR7401677" 2016 2017
"SRR9985840" 2017 2018
"SRR9985866" 2017 2018
"SRR8088179" 2016 2017
"SRR7401669" 2016 2017
"SRR8079763" 2016 2017
"SRR8071355" 2015 2016
"GCGS0441" 2002 2003
"SRR11903919" 2018.00273972603 2018.00273972603
"SRR11904056" 2018.24931506849 2018.24931506849
"SRR16999592" 2019.74794520548 2019.8301369863
"SRR11904808" 2018.91780821918 2018.91780821918
"SRR11903951" 2018.41643835616 2018.41643835616
"SRR11904060" 2018.24931506849 2018.24931506849
"SRR11904054" 2018.24931506849 2018.24931506849
"SRR16999614" 2019.66301369863 2019.74794520548
"GCGS0395" 2012 2013
"SRR9985658" 2017 2018
"SRR11903983" 2018.24931506849 2018.24931506849
"SRR9985791" 2017 2018
"SRR8071054" 2016 2017
"SRR8071133" 2015 2016
"SRR9877866" 2018.66575342466 2018.66575342466
"SRR11903889" 2018.49863013699 2018.49863013699
"SRR11904418" 2018.58356164384 2018.58356164384
"SRR8833513" 2018.33150684932 2018.33150684932
"SRR8172171" 2018.00273972603 2018.00273972603
"SRR11904355" 2018.66575342466 2018.66575342466
"SRR16644700" 2019.16164383562 2019.24657534247
"SRR11904940" 2018.24931506849 2018.24931506849
"SRR16644001" 2019.16164383562 2019.24657534247
"SRR9985600" 2017 2018
"SRR9985763" 2017 2018
"SRR11903891" 2018.49863013699 2018.49863013699
"SRR11903904" 2018.41643835616 2018.41643835616
